# EP_MODEL,v5-regime,flag=auto,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.1599,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Darrynton Evans,RB,FA,,RB181,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Kene Nwangwu,RB,FA,,RB182,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jerick McKinnon,RB,FA,,RB183,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Chris Evans,RB,FA,,RB184,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jase McClellan,RB,FA,,RB185,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
JaMycal Hasty,RB,FA,,RB186,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Kevin Harris,RB,FA,,RB187,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Travis Homer,RB,FA,,RB188,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Trayveon Williams,RB,FA,,RB189,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Tyrion Davis-Price,RB,FA,,RB190,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
DeWayne McBride,RB,FA,,RB191,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Nyheim Miller-Hines,RB,FA,,RB192,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Matt Breida,RB,FA,,RB193,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Michael Wiley,RB,FA,,RB194,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Royce Freeman,RB,FA,,RB195,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Gary Brightwell,RB,FA,,RB196,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Emani Bailey,RB,FA,,RB197,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Lew Nichols III,RB,FA,,RB198,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jashaun Corbin,RB,FA,,RB199,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Hollywood Brown,WR,FA,,WR111,WR115,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Josh Cameron,WR,FA,,WR131,,0,1,0,0,2.67,0.9,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Eric McAlister,WR,FA,,WR132,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Elijah Moore,WR,FA,,WR135,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tyler Lockett,WR,FA,,WR141,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Eric Rivers Jr.,WR,FA,,WR143,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tyren Montgomery,WR,FA,,WR144,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Barion Brown,WR,FA,,WR145,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
DeAndre Hopkins,WR,FA,,WR147,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Reggie Virgil,WR,FA,,WR148,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Dyami Brown,WR,FA,,WR150,WR127,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Chase Roberts,WR,FA,,WR154,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Kaden Wetjen,WR,FA,,WR155,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Noah Thomas,WR,FA,,WR156,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Colbie Young,WR,FA,,WR157,WR141,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
KaVontae Turpin,WR,FA,,WR163,WR117,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jahdae Walker,WR,FA,,WR164,WR145,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Kendrick Law,WR,FA,,WR165,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Nick Westbrook-Ikhine,WR,FA,,WR167,WR126,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Aaron Anderson,WR,FA,,WR168,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Trebor Pena,WR,FA,,WR169,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jake Bobo,WR,FA,,WR170,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Trey Palmer,WR,FA,,WR171,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Greg Dortch,WR,FA,,WR172,WR142,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Brandin Cooks,WR,FA,,WR173,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jalin Hyatt,WR,FA,,WR174,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tyrell Shavers,WR,FA,,WR175,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Dane Key,WR,FA,,WR176,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Demarcus Robinson,WR,FA,,WR177,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jordan Watkins,WR,FA,,WR179,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Gabe Davis,WR,FA,,WR180,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
JuJu Smith-Schuster,WR,FA,,WR181,WR158,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Harrison Wallace III,WR,FA,,WR182,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Romello Brinson,WR,FA,,WR183,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Noah Brown,WR,FA,,WR184,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Kalif Raymond,WR,FA,,WR185,WR125,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Sterling Shepard,WR,FA,,WR186,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Arian Smith,WR,FA,,WR187,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Van Jefferson,WR,FA,,WR188,WR149,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Vinny Anthony II,WR,FA,,WR190,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Isaiah Hodgins,WR,FA,,WR191,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Nick Nash,WR,FA,,WR193,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Marquez Valdes-Scantling,WR,FA,,WR195,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Curtis Samuel,WR,FA,,WR196,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Bo Melton,WR,FA,,WR197,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Ashton Dulin,WR,FA,,WR198,WR146,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Josh Reynolds,WR,FA,,WR199,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jamari Thrash,WR,FA,,WR200,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jonathan Mingo,WR,FA,,WR201,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Javon Baker,WR,FA,,WR202,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Henry Ruggs III,WR,FA,,WR203,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Diontae Johnson,WR,FA,,WR204,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Ricky White III,WR,FA,,WR205,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tim Patrick,WR,FA,,WR206,WR151,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Kameron Johnson,WR,FA,,WR207,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Darius Cooper,WR,FA,,WR208,WR161,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Mitch Tinsley,WR,FA,,WR209,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tyler Scott,WR,FA,,WR210,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tahj Washington,WR,FA,,WR211,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Johnny Wilson,WR,FA,,WR212,WR163,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Zay Jones,WR,FA,,WR213,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
David Moore,WR,FA,,WR214,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Allen Lazard,WR,FA,,WR215,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Skyy Moore,WR,FA,,WR216,WR130,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,3,3,0.12,0.03,25.0,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Casey Washington,WR,FA,,WR218,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Charlie Jones,WR,FA,,WR219,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Dominic Lovett,WR,FA,,WR220,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tyler Johnson,WR,FA,,WR221,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Justin Watson,WR,FA,,WR222,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Ray-Ray McCloud III,WR,FA,,WR223,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Bub Means,WR,FA,,WR224,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Cedrick Wilson Jr.,WR,FA,,WR225,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
K.J. Osborn,WR,FA,,WR226,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tylan Wallace,WR,FA,,WR227,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Derius Davis,WR,FA,,WR228,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
A.T. Perry,WR,FA,,WR229,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Hunter Renfrow,WR,FA,,WR230,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Ben Skowronek,WR,FA,,WR231,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Scotty Miller,WR,FA,,WR232,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Quez Watkins,WR,FA,,WR233,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Mecole Hardman Jr.,WR,FA,,WR235,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Braxton Berrios,WR,FA,,WR236,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Velus Jones Jr.,WR,FA,,WR237,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Xavier Gipson,WR,FA,,WR238,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Terrace Marshall Jr.,WR,FA,,WR239,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Devin Duvernay,WR,FA,,WR240,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jason Brownlee,WR,FA,,WR241,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Trenton Irwin,WR,FA,,WR242,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Nelson Agholor,WR,FA,,WR243,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Tejhaun Palmer,WR,FA,,WR244,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Danny Gray,WR,FA,,WR245,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Jalen Reagor,WR,FA,,WR246,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Donovan Peoples-Jones,WR,FA,,WR247,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Kyle Philips,WR,FA,,WR248,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Zach Pascal,WR,FA,,WR249,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Justyn Ross,WR,FA,,WR250,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Michael Thomas,WR,FA,,WR252,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Chase Claypool,WR,FA,,WR253,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,Gride; Hawks; Sex Manther
Russell Wilson,QB,FA,,QB59,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Kenny Pickett,QB,FA,,QB65,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
Haynes King,QB,FA,,QB67,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,2,2,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; CBP; HammerTime 🔨 ⏰
